,country,year,emissions,total_emissions
1538,Thailand,2011,277.952578561059,277952578.561059
1539,Vietnam,2011,174.42972097185844,174429720.97185844
1540,Canada,2012,600.5425626074472,600542562.6074471
1541,Mexico,2012,539.5110628093278,539511062.8093277
1542,US,2012,5458.682497977346,5458682497.977346
1543,Argentina,2012,210.6811700300032,210681170.0300032
1544,Brazil,2012,497.53952505209907,497539525.05209905
1545,Chile,2012,90.947316868763,90947316.868763
1546,Colombia,2012,99.17788610599665,99177886.10599665
1547,Ecuador,2012,44.31075990634173,44310759.90634173
1548,Peru,2012,53.15181591057235,53151815.91057235
1549,Trinidad and Tobago,2012,33.59382058549839,33593820.58549839
1550,Venezuela,2012,356.522816993201,356522816.993201
1551,Austria,2012,64.05311462508756,64053114.62508756
1552,Belgium,2012,118.91875395578009,118918753.95578009
1553,Bulgaria,2012,59.42405841603555,59424058.41603555
1554,Croatia,2012,18.638562003943928,18638562.003943928
1555,Czech Republic,2012,110.85494701327715,110854947.01327716
1556,Denmark,2012,43.32289397188428,43322893.97188427
1557,Estonia,2012,23.287851651455554,23287851.651455555
1558,France,2012,344.66328688126436,344663286.8812643
1559,Germany,2012,790.9122636949876,790912263.6949875
1560,Greece,2012,91.33050898832116,91330508.98832116
1561,Hungary,2012,45.49173678654836,45491736.78654836
1562,Ireland,2012,39.954879731379606,39954879.731379606
1563,Italy,2012,385.9917047274543,385991704.7274543
1564,Lithuania,2012,12.831363815630615,12831363.815630615
1565,Netherlands,2012,212.8286114184666,212828611.4184666
1566,North Macedonia,2012,11.911245739603572,11911245.739603572
1567,Norway,2012,39.552003484311776,39552003.484311774
1568,Poland,2012,315.9271623952644,315927162.39526445
1569,Romania,2012,87.42335124091342,87423351.24091342
1570,Slovakia,2012,33.48738565449699,33487385.65449699
1571,Slovenia,2012,15.048006817977912,15048006.817977913
1572,Spain,2012,315.0381952114817,315038195.2114817
1573,Sweden,2012,50.6694878610416,50669487.861041605
1574,Turkey,2012,345.9391165338524,345939116.5338524
1575,Ukraine,2012,311.78253293171724,311782532.9317172
1576,United Kingdom,2012,522.2161913891565,522216191.3891565
1577,Azerbaijan,2012,40.32258809755841,40322588.09755841
1578,Belarus,2012,64.57668891779457,64576688.91779457
1579,Kazakhstan,2012,264.5433726370734,264543372.6370734
1580,Russian Federation,2012,2076.402427223687,2076402427.223687
1581,Turkmenistan,2012,131.48788010733222,131487880.10733221
1582,Uzbekistan,2012,137.99801777439572,137998017.77439573
1583,"Iran, Islamic Republic of",2012,722.8433202094127,722843320.2094127
1584,Iraq,2012,207.5932936165009,207593293.61650088
1585,Israel,2012,76.71974293920707,76719742.93920706
1586,Kuwait,2012,114.76098848891512,114760988.48891512
1587,Oman,2012,77.23532653962927,77235326.53962927
1588,Qatar,2012,111.92360498811261,111923604.98811261
